variable,labels
AGE,Age in years at admission
AGE_NEONATE,Neonatal age (first 28 days after birth) indicator
AMONTH,Admission month
AWEEKEND,Admission day is a weekend
DIED,Died during hospitalization
DISCWT,NIS discharge weight
DISPUNIFORM,Disposition of patient (uniform)
DQTR,Discharge quarter
DRG,DRG in effect on discharge date
DRGVER,DRG grouper version used on discharge date
DRG_NoPOA,"DRG in use on discharge date, calculated without POA"
ELECTIVE,Elective versus non-elective admission
FEMALE,Indicator of sex
HCUP_ED,HCUP Emergency Department service indicator
HOSP_DIVISION,Census Division of hospital
HOSP_NIS,NIS hospital number
I10_BIRTH,ICD-10-CM Birth Indicator
I10_DELIVERY,ICD-10-CM Delivery Indicator
I10_DX1,ICD-10-CM Diagnosis 1
I10_DX2,ICD-10-CM Diagnosis 2
I10_DX3,ICD-10-CM Diagnosis 3
I10_DX4,ICD-10-CM Diagnosis 4
I10_DX5,ICD-10-CM Diagnosis 5
I10_DX6,ICD-10-CM Diagnosis 6
I10_DX7,ICD-10-CM Diagnosis 7
I10_DX8,ICD-10-CM Diagnosis 8
I10_DX9,ICD-10-CM Diagnosis 9
I10_DX10,ICD-10-CM Diagnosis 10
I10_DX11,ICD-10-CM Diagnosis 11
I10_DX12,ICD-10-CM Diagnosis 12
I10_DX13,ICD-10-CM Diagnosis 13
I10_DX14,ICD-10-CM Diagnosis 14
I10_DX15,ICD-10-CM Diagnosis 15
I10_DX16,ICD-10-CM Diagnosis 16
I10_DX17,ICD-10-CM Diagnosis 17
I10_DX18,ICD-10-CM Diagnosis 18
I10_DX19,ICD-10-CM Diagnosis 19
I10_DX20,ICD-10-CM Diagnosis 20
I10_DX21,ICD-10-CM Diagnosis 21
I10_DX22,ICD-10-CM Diagnosis 22
I10_DX23,ICD-10-CM Diagnosis 23
I10_DX24,ICD-10-CM Diagnosis 24
I10_DX25,ICD-10-CM Diagnosis 25
I10_DX26,ICD-10-CM Diagnosis 26
I10_DX27,ICD-10-CM Diagnosis 27
I10_DX28,ICD-10-CM Diagnosis 28
I10_DX29,ICD-10-CM Diagnosis 29
I10_DX30,ICD-10-CM Diagnosis 30
I10_DX31,ICD-10-CM Diagnosis 31
I10_DX32,ICD-10-CM Diagnosis 32
I10_DX33,ICD-10-CM Diagnosis 33
I10_DX34,ICD-10-CM Diagnosis 34
I10_DX35,ICD-10-CM Diagnosis 35
I10_DX36,ICD-10-CM Diagnosis 36
I10_DX37,ICD-10-CM Diagnosis 37
I10_DX38,ICD-10-CM Diagnosis 38
I10_DX39,ICD-10-CM Diagnosis 39
I10_DX40,ICD-10-CM Diagnosis 40
I10_INJURY,Injury ICD-10-CM diagnosis reported on record (1: First-listed injury; 2: Other than first-listed injury; 0: No injury)
I10_MULTINJURY,Multiple ICD-10-CM injuries reported on record
I10_NDX,ICD-10-CM Number of diagnoses on this record
I10_NPR,ICD-10-PCS Number of procedures on this record
I10_PR1,ICD-10-PCS Procedure 1
I10_PR2,ICD-10-PCS Procedure 2
I10_PR3,ICD-10-PCS Procedure 3
I10_PR4,ICD-10-PCS Procedure 4
I10_PR5,ICD-10-PCS Procedure 5
I10_PR6,ICD-10-PCS Procedure 6
I10_PR7,ICD-10-PCS Procedure 7
I10_PR8,ICD-10-PCS Procedure 8
I10_PR9,ICD-10-PCS Procedure 9
